sl_no,District_code,District_names,Urban_MPCE,Urban_MPCE_seblup,Urban_MPCE_Var,Urban_MPCE_Var_seblup,Urban_MPCE_RSE,spatial_eblup_cv
1,1,Saharanpur,4984.772888,4985.843409,92353.97912,86640.508,6.096525994,5.903667106
2,2,Muzaffarnagar,6307.664338,6102.487877,226112.6117,192804.1161,7.538654135,7.195338425
3,3,Bijnor,3562.393669,3583.695708,20800.6678,20483.22713,4.048524099,3.993632186
4,4,Moradabad,4081.063827,4092.774715,26828.67153,26287.04647,4.013527075,3.961439765
5,5,Rampur,4144.868528,4157.109458,47540.47507,45868.43067,5.26042701,5.151876943
6,6,Jyotiba Phule Nagar,3007.779428,3073.831093,47855.96563,46136.23285,7.273141841,6.987809645
7,7,Meerut,5484.961213,5484.684095,18281.59284,18031.91552,2.465093834,2.448326389
8,8,Bagpat,7272.006953,7001.082086,145437.7432,131161.7674,5.244260761,5.17295214
9,9,Ghaziabad,5596.984346,5595.301406,21277.19701,20936.82797,2.606172244,2.586020458
10,10,Gautam Buddha Nagar,10676.319,9484.088981,292906.7197,238615.983,5.069243184,5.150556376
11,11,Bulandshahr,4267.708889,4276.787944,15234.23981,15056.48244,2.892115323,2.869089155
12,12,Aligarh,4226.205617,4244.11956,30483.46669,29790.38095,4.13125074,4.066777561
13,13,Mahamaya Nagar,4448.679978,4444.502222,56657.63196,54293.85987,5.350545286,5.242666491
14,14,Mathura,4111.264931,4152.813652,86205.72704,80975.44285,7.141551884,6.852266138
15,15,Agra,4794.138917,4795.55724,22471.51603,22111.24544,3.126839375,3.100755506
16,16,Firozabad,4174.957246,4190.362632,31312.89345,30586.06074,4.238474432,4.17359367
17,17,Mainpuri,4141.55988,4195.526744,378203.5241,291219.1913,14.84905585,12.86244415
18,18,Badaun,4170.965585,4201.005379,105799.3942,97743.36455,7.798390599,7.442012661
19,19,Bareilly,4617.383249,4618.968381,32676.73025,31891.77645,3.914924341,3.866289467
20,20,Pilibhit,3891.305505,3915.744664,66471.03716,63317.71076,6.625534186,6.426111216
21,21,Shahjahanpur,4328.760835,4376.852509,337927.5449,267717.0509,13.42914011,11.82159575
22,22,Kheri,4432.282115,4431.734038,64913.00088,61892.06371,5.748287059,5.613630107
23,23,Sitapur,3663.827219,3693.335279,47991.50075,46301.72361,5.979256451,5.826125623
24,24,Hardoi,3808.872284,3850.150626,88656.68898,82982.63415,7.817346161,7.481968716
25,25,Unnao,4583.271819,4556.424527,233205.5526,197111.3092,10.53643831,9.743872449
26,26,Lucknow,6697.150287,6568.884081,112076.2726,104525.0528,4.998811896,4.92173923
27,27,Rae Bareli,3956.858915,3965.574237,44144.93412,42692.32473,5.309943146,5.210373036
28,28,Farrukhabad,4478.281396,4477.26886,73068.66041,69159.62977,6.036068968,5.873718857
29,29,Kannauj,3409.791632,3463.326752,70165.43088,66537.22102,7.76843896,7.447986171
30,30,Etawah,5701.234854,5412.44022,295356.6886,240170.2444,9.532448632,9.054541996
31,31,Auraiya,3575.105279,3581.536591,11855.53519,11749.77587,3.045592166,3.026532897
32,32,Kanpur Dehat,3689.953057,3786.046431,324362.9696,259286.7431,15.43457917,13.44944058
33,33,Kanpur Nagar,4944.459131,4957.187453,17097.84401,16991.27552,2.644550616,2.62952709
34,34,Jalaun,4310.235528,4320.4963,43221.92719,41863.66644,4.82337537,4.735708838
35,35,Jhansi,4801.13921,4772.456246,353569.5658,280228.4729,12.3849181,11.09211017
36,36,Lalitpur,4297.611142,4298.519859,62353.63148,59723.10624,5.810369601,5.685285207
37,37,Hamirpur,5262.305112,5097.192835,223749.9637,191115.8327,8.988877494,8.576641745
38,38,Mahoba,4871.110345,4838.164501,68373.80905,65092.76794,5.36805454,5.273339583
39,39,Banda,4400.227608,4389.358778,90759.15593,84926.01357,6.846523175,6.639254072
40,40,Chitrakoot,3886.713441,3910.579099,172567.6585,152746.1661,10.68801811,9.994109061
41,41,Fatehpur,3891.946512,3911.334037,64014.44087,61010.6749,6.500879488,6.31506765
42,42,Pratapgarh,3690.578852,3706.001024,46216.70745,44617.3026,5.825121824,5.699622869
43,43,Kaushambi,3532.966077,3557.769867,53729.29274,51618.31642,6.560940428,6.385928701
44,44,Allahabad,5042.598977,5027.14199,26714.00441,26191.75466,3.241268923,3.219297743
45,45,Bara Banki,5214.411033,5154.162229,93305.50499,87066.13487,5.857986572,5.72488212
46,46,Faizabad,4969.423691,4830.813518,279736.4694,229480.1597,10.64310921,9.916360318
47,47,Ambedkar Nagar,2652.431159,2684.397176,26440.61596,25909.85431,6.130440237,5.996332576
48,48,Sultanpur,3597.641082,3617.221027,57739.01207,55261.32666,6.679083001,6.498836436
49,49,Bahraich,4788.4824,4772.472987,50339.9856,48510.86554,4.685529192,4.615045985
50,51,Balrampur,5649.029903,7928.951898,879355.6209,412630.9777,16.60001186,8.10149431
51,52,Gonda,9889.366775,3079.493753,607420.2574,85813.6744,7.880906074,9.512593131
52,53,Siddharthnagar,2988.317566,3367.714214,91673.04897,39259.11106,10.13197455,5.883489747
53,54,Basti,3341.523953,4452.028921,40473.66334,313291.749,6.020626403,12.57235113
54,55,Sant Kabir Nagar,4613.712159,4123.423773,416372.72,171991.906,13.98590705,10.05763879
55,56,Maharajganj,4134.511788,5761.349255,197483.2549,36517.01125,10.74832782,3.316831502
56,57,Gorakhpur,5813.126826,3544.374022,37557.89597,21756.8783,3.333809879,4.161584779
57,58,Kushinagar,3534.387036,3883.079142,22111.27396,17308.95078,4.207196313,3.388122697
58,59,Deoria,3881.750456,3148.857768,17538.30182,27296.88048,3.411663248,5.246908188
59,60,Azamgarh,3131.432034,2934.652931,27885.12553,18378.6393,5.332652843,4.619552751
60,61,Mau,2919.622506,2582.691277,18642.42592,18275.07509,4.676538459,5.234281669
61,62,Ballia,2561.143704,3415.083886,18523.73377,30139.30325,5.314107287,5.083528095
62,63,Jaunpur,3401.55486,2737.472117,30858.90551,49235.04746,5.164315657,8.105643078
63,64,Ghazipur,2688.540223,3392.695835,51143.13894,25922.18793,8.411571706,4.745597513
64,65,Chanduali,3381.230155,4156.009117,26427.13782,37225.69123,4.807843597,4.642424974
65,66,Varanasi,4146.99096,3497.90011,38258.20714,81444.76127,4.716601866,8.158760304
66,67,Sant Ravidas Nagar (Bhadohi),3462.255689,3896.269291,86942.73542,41807.13774,8.516428653,5.247787638
67,68,Mirzapur,3887.505381,5202.617085,43159.33318,658097.3723,5.343998898,15.59276794
68,69,Sonbhadra,6585.163579,4351.945554,1305062.56,24038.23877,17.34798739,3.562606607
69,70,Etah,4354.104025,4024.065663,24494.6645,73520.16699,3.594487246,6.738111352
70,71,Kanshiram Nagar,4004.651948,6088.810215,78007.5299,193587.5477,6.974345957,7.22613834
71,72,Shamli,6307.664338,4088.034036,226112.6117,26283.33556,7.538654135,3.965753688
72,73,Sambhal,4081.063827,5583.737828,26828.67153,20929.65568,4.013527075,2.590932049
73,74,Hapur,5596.984346,3783.709045,21277.19701,24981.76547,2.606172244,4.177282343
74,75,Amethi,3777.249999,4985.843409,25470.98655,86640.508,4.225198856,5.903667106
